,genre_ids,original_title,release_date,production_budget,domestic_gross,worldwide_gross,domestic_return,worldwide_return,release_year
#Horror,"[18, 9648, 27, 53]",#Horror,2015-11-20,1500000.0,0.0,0.0,0.0,0.0,2015
10 Cloverfield Lane,"[53, 878, 18]",10 Cloverfield Lane,2016-03-11,5000000.0,72082999.0,108286422.0,14.4165998,21.6572844,2016
10 Days in a Madhouse,[18],10 Days in a Madhouse,2015-11-11,12000000.0,14616.0,14616.0,0.001218,0.001218,2015
12 Strong,"[10752, 18, 36, 28]",12 Strong,2018-01-19,35000000.0,45819713.0,71118378.0,1.309134657142857,2.031953657142857,2018
12 Years a Slave,"[18, 36]",12 Years a Slave,2013-10-18,20000000.0,56671993.0,181025343.0,2.83359965,9.05126715,2013
127 Hours,"[12, 18, 53]",127 Hours,2010-11-05,18000000.0,18335230.0,60217171.0,1.018623888888889,3.345398388888889,2010
13 Hours: The Secret Soldiers of Benghazi,"[28, 18, 36, 53, 10752]",13 Hours: The Secret Soldiers of Benghazi,2016-01-15,50000000.0,52853219.0,69411370.0,1.05706438,1.3882274,2016
13 Sins,"[27, 53]",13 Sins,2014-04-18,4000000.0,9134.0,47552.0,0.0022835,0.011888,2014
1941,[35],1941,1979-12-14,32000000.0,34175000.0,94875000.0,1.06796875,2.96484375,1979
1982,[18],1982,2016-03-01,1000000.0,0.0,0.0,0.0,0.0,2016
2 Guns,"[28, 35, 80]",2 Guns,2013-08-02,61000000.0,75612460.0,132493015.0,1.2395485245901638,2.172016639344262,2013
2001: A Space Odyssey,"[878, 9648, 12]",2001: A Space Odyssey,1968-04-02,10500000.0,59936321.0,71928046.0,5.708221047619047,6.850290095238095,1968
2012,[99],2012,2009-11-13,200000000.0,166112167.0,757677748.0,0.830560835,3.78838874,2009
21 Jump Street,"[28, 35, 80]",21 Jump Street,2012-03-16,42000000.0,138447667.0,202812429.0,3.2963730238095237,4.828867357142857,2012
22 Jump Street,"[80, 35, 28]",22 Jump Street,2014-06-13,50000000.0,191719337.0,331333876.0,3.83438674,6.62667752,2014
23 Blast,[18],23 Blast,2014-10-24,1000000.0,549185.0,549185.0,0.549185,0.549185,2014
3,"[27, 9648, 53]",3,2011-09-16,7200000.0,59774.0,295492.0,0.008301944444444445,0.04104055555555555,2011
3 Backyards,[18],3 Backyards,2011-03-11,300000.0,39475.0,39475.0,0.13158333333333333,0.13158333333333333,2011
3 Days to Kill,"[28, 18, 53, 80]",3 Days to Kill,2014-02-21,28000000.0,30697999.0,38959900.0,1.096357107142857,1.391425,2014
30 Minutes or Less,"[28, 12, 35]",30 Minutes or Less,2011-08-12,28000000.0,37053924.0,40966716.0,1.3233544285714285,1.463097,2011
300: Rise of an Empire,"[28, 10752, 14]",300: Rise of an Empire,2014-03-07,110000000.0,106580051.0,330780051.0,0.9689095545454546,3.0070913727272726,2014
31,"[27, 53, 9648]",31,2016-10-21,1500000.0,779820.0,922727.0,0.51988,0.6151513333333334,2016
42,[18],42,2013-04-12,31000000.0,95020213.0,97470701.0,3.0651681612903228,3.1442161612903226,2013
47 Ronin,"[18, 28, 12, 14]",47 Ronin,2013-12-25,175000000.0,38362475.0,151716815.0,0.21921414285714286,0.8669532285714285,2013
5 Days of War,"[10752, 18]",5 Days of War,2011-08-19,12000000.0,17479.0,87793.0,0.0014565833333333334,0.007316083333333333,2011
50 to 1,"[35, 18]",50 to 1,2014-03-21,10000000.0,1069454.0,1069454.0,0.1069454,0.1069454,2014
50/50,"[35, 18]",50/50,2011-09-30,8000000.0,35016118.0,41334735.0,4.37701475,5.166841875,2011
8 Days,"[53, 18]",8 Days,2015-10-13,2500000.0,0.0,0.0,0.0,0.0,2015
8: The Mormon Proposition,[99],8: The Mormon Proposition,2010-06-18,2500000.0,100280.0,100280.0,0.040112,0.040112,2010
90 Minutes in Heaven,[18],90 Minutes in Heaven,2015-09-11,5000000.0,4816142.0,4816142.0,0.9632284,0.9632284,2015
A Bad Moms Christmas,[35],A Bad Moms Christmas,2017-11-01,28000000.0,72110659.0,127710550.0,2.5753806785714284,4.561091071428572,2017
A Bad Moms Christmas,[35],A Bad Moms Christmas,2017-11-01,28000000.0,72110659.0,127710550.0,2.5753806785714284,4.561091071428572,2017
A Better Life,[18],A Better Life,2011-06-24,10000000.0,1759252.0,1884251.0,0.1759252,0.1884251,2011
A Better Life,[99],A Better Life,2011-06-24,10000000.0,1759252.0,1884251.0,0.1759252,0.1884251,2011
A Dangerous Method,"[18, 53]",A Dangerous Method,2011-11-23,20000000.0,5702083.0,14807531.0,0.28510415,0.74037655,2011
A Few Best Men,[35],A Few Best Men,2015-05-05,15000000.0,0.0,17224539.0,0.0,1.1483026,2015
A Ghost Story,"[18, 14, 10749]",A Ghost Story,2017-07-07,100000.0,1594798.0,2769782.0,15.94798,27.69782,2017
A Good Day to Die Hard,"[28, 53]",A Good Day to Die Hard,2013-02-14,92000000.0,67349198.0,304249198.0,0.7320565,3.3070565,2013
A Haunted House,"[35, 27]",A Haunted House,2013-01-11,2500000.0,40041683.0,59922558.0,16.0166732,23.9690232,2013
A Haunted House 2,"[35, 27]",A Haunted House 2,2014-04-18,4000000.0,17329487.0,21206861.0,4.33237175,5.30171525,2014
A Hologram for the King,"[35, 18]",A Hologram for the King,2016-04-22,35000000.0,4212494.0,11846010.0,0.12035697142857144,0.3384574285714286,2016
A Little Bit of Heaven,"[35, 18, 10749]",A Little Bit of Heaven,2012-05-04,12500000.0,10011.0,1100287.0,0.00080088,0.08802296,2012
A Lonely Place to Die,"[12, 28, 53, 80]",A Lonely Place to Die,2012-03-20,4000000.0,0.0,442550.0,0.0,0.1106375,2012
A Monster Calls,"[18, 14]",A Monster Calls,2017-01-06,43000000.0,3740823.0,46414530.0,0.08699588372093023,1.0794076744186047,2017
A Monster Calls,"[18, 14]",A Monster Calls,2017-01-06,43000000.0,3740823.0,46414530.0,0.08699588372093023,1.0794076744186047,2017
A Most Violent Year,"[80, 18, 53]",A Most Violent Year,2014-12-31,20000000.0,5749134.0,8846875.0,0.2874567,0.44234375,2014
A Most Violent Year,"[80, 18, 53]",A Most Violent Year,2014-12-31,20000000.0,5749134.0,8846875.0,0.2874567,0.44234375,2014
A Most Wanted Man,[53],A Most Wanted Man,2014-07-25,15000000.0,17237855.0,36068890.0,1.1491903333333333,2.404592666666667,2014
A Nightmare on Elm Street,"[27, 9648, 53]",A Nightmare on Elm Street,2010-04-30,35000000.0,63075011.0,117729621.0,1.8021431714285714,3.363703457142857,2010
A Nightmare on Elm Street,"[27, 9648, 53]",A Nightmare on Elm Street,1984-11-09,1800000.0,25504513.0,25504513.0,14.169173888888889,14.169173888888889,1984
A Quiet Place,"[18, 27, 53, 878]",A Quiet Place,2018-04-06,17000000.0,188024361.0,334522294.0,11.060256529411765,19.677782,2018
A Shine of Rainbows,"[18, 10751]",A Shine of Rainbows,2011-03-15,6000000.0,0.0,0.0,0.0,0.0,2011
