id,runtime,budget,revenue,roi
12444,146,250000000,954305868,281.7223472
10191,98,165000000,494878759,199.9265206060606
10138,124,200000000,623933331,211.9666655
27205,148,160000000,825532764,415.9579775
32657,118,95000000,226497209,138.4181147368421
19995,162,237000000,2787965087,1076.356576793249
10193,103,200000000,1066969703,433.4848515
20352,95,69000000,533679475,673.4485144927536
38055,96,130000000,321885765,147.6044346153846
12155,108,200000000,1025467110,412.73355499999997
27578,103,80000000,274470394,243.0879925
38757,100,260000000,592461732,127.86989692307694
41439,90,20000000,136150434,580.75217
24021,124,68000000,698491347,927.1931573529411
20504,118,80000000,157107755,96.38469375
2502,108,75000000,288500217,284.666956
11324,138,80000000,294800000,268.5
2501,119,60000000,214034224,256.72370666666666
37834,109,117000000,261930431,123.87216324786326
10140,113,155000000,415686217,168.18465612903225
41233,107,30000000,159291809,430.9726966666667
34544,117,110000000,177238796,61.12617818181818
45269,118,15000000,414211549,2661.4103266666666
10196,103,150000000,319713881,113.14258733333334
34851,107,40000000,127233108,218.08277
37799,121,40000000,224920315,462.3007875
2503,115,70000000,442824138,532.6059114285714
18823,106,125000000,493214993,294.5719944
20662,140,200000000,321669741,60.83487050000001
10192,93,165000000,752600867,356.1217375757576
37735,93,8000000,74952305,836.9038125
27022,109,150000000,215283742,43.52249466666667
22538,112,85000000,48000000,-43.529411764705884
38365,102,80000000,271430189,239.28773625000002
44048,98,100000000,167805466,67.80546600000001
44214,108,13000000,329398046,2433.831123076923
27581,107,100000000,170432927,70.432927
23168,125,37000000,154026136,316.28685405405406
20526,125,170000000,400062763,135.3310370588235
9543,116,150000000,335154643,123.43642866666667
7980,136,65000000,93621340,44.03283076923077
44264,110,38000000,252276927,563.88665
23483,117,28000000,96188903,243.53179642857143
27576,100,110000000,293329073,166.66279363636363
26389,92,52000000,52826594,1.5896038461538462
23023,101,48000000,112462508,134.29689166666668
23631,105,20000000,44093316,120.46658
25376,130,2000000,33965843,1598.29215
35056,97,55000000,152263880,176.84341818181818
41733,95,65000000,211780824,225.81665230769232
38575,140,40000000,359126022,797.8150549999999
29427,101,20000000,54956140,174.78070000000002
39451,98,100000000,310650585,210.650585
39514,111,58000000,71664962,23.56027931034483
22971,115,25000000,114977104,359.908416
22894,100,26000000,67918658,161.2256076923077
38408,114,38000000,105610124,177.92137894736842
22972,115,100000000,94882889,-5.1171109999999995
23169,113,16000000,56032889,250.20555624999997
44115,94,18000000,35692920,98.294
43593,88,24000000,83188165,246.61735416666664
32856,125,52000000,216485654,316.3185653846154
43539,133,30000000,51148651,70.49550333333333
26388,94,1987650,19152480,863.5740698815184
38745,85,112000000,237382724,111.94886071428571
41216,97,80000000,140073390,75.0917375
45317,116,25000000,93617009,274.468036
37710,103,100000000,278731369,178.731369
14756,106,11715578,22108789,88.7127463962939
37821,100,75000000,98159963,30.879950666666666
44040,80,10000000,33583175,235.83175
23048,101,36000000,64572262,79.36739444444444
43347,112,30000000,102820008,242.73335999999998
42188,104,15000000,9918093,-33.87938
43923,102,8000000,6491240,-18.8595
38167,133,60000000,204594016,240.99002666666664
27573,110,40000000,136000000,240.0
23437,95,35000000,115664037,230.46867714285716
41402,116,20000000,24145613,20.728065
37950,99,44000000,48190704,9.524327272727273
37056,105,30000000,82148538,173.82846
35690,107,20000000,89137047,345.68523500000003
48415,102,4000000,65584679,1539.6169750000001
46838,89,5000000,5224938,4.49876
46705,112,3500000,16566240,373.32114285714283
42297,119,55000000,89519773,62.76322363636364
41436,91,3000000,177512032,5817.067733333333
11439,128,45000000,60331447,34.06988222222222
26466,99,12000000,1594955,-86.70870833333333
41210,101,19000000,49830607,162.26635263157897
35791,97,60000000,300228084,400.38014000000004
10195,115,150000000,449326618,199.55107866666665
45243,102,80000000,586764305,633.4553812500001
1865,137,380000000,1045713802,175.18784263157895
12445,130,125000000,1341511219,973.2089752
1771,124,140000000,370569774,164.69269571428572
49013,106,200000000,559852396,179.926198
61791,105,93000000,482860185,419.20450000000005
50546,117,80000000,214945591,168.68198875
51876,105,27000000,161849455,499.4424259259259
50619,117,110000000,712171856,547.42896
49530,109,40000000,173930596,334.82649000000004
71676,96,57000000,132563930,132.56829824561402
56292,133,145000000,694713380,379.11267586206895
58574,129,125000000,334615000,167.692
65754,158,90000000,232617430,158.4638111111111
59965,106,35000000,82087155,134.53472857142856
49444,91,150000000,665692281,343.794854
44912,114,200000000,219851172,9.925586000000001
31011,155,47000000,2331721,-95.0388914893617
37430,113,90000000,63523283,-29.418574444444445
41513,103,110000000,563749323,412.4993845454545
45772,84,36000000,189712432,426.97897777777774
49849,119,163000000,174822325,7.2529601226993865
49018,103,1500000,97009150,6367.276666666667
41446,111,40000000,97231420,143.07855
64690,100,15000000,78054825,420.36550000000005
58233,101,45000000,160078586,255.73019111111114
59440,140,25000000,23057115,-7.771540000000001
60308,134,50000000,110206216,120.412432
22970,95,30000000,71041255,136.80418333333333
38321,87,60000000,78309131,30.515218333333333
39513,104,40000000,97552050,143.880125
49021,116,66000000,57777106,-12.458930303030304
77338,113,13000000,426588510,3181.4500769230767
39254,127,110000000,299268508,172.06228
37958,110,75000000,226904017,202.5386893333333
46195,96,90000000,484635760,438.4841777777778
40805,119,120000000,227817248,89.84770666666667
44896,107,135000000,245724603,82.01822444444444
23629,110,82000000,89792502,9.503051219512196
37686,112,50000000,260095986,420.191972
27582,93,40000000,51070807,27.6770175
41630,107,25000000,149228077,496.912308
51540,98,35000000,209838559,499.53874
50544,109,35000000,149542245,327.2635571428571
38050,106,50200000,127869379,154.71987848605576
52449,92,20000000,216197492,980.98746
45612,93,32000000,147332697,360.41467812499997
